Genome	SkewI	Kingdom	K_TID	Phylum	P_TID	Class	C_TID	Order	O_TID	Family	F_TId	Genus	G_TID	Species	S_TID
"NZ_CP021647.1 Pseudoalteromonas piscicida strain DE2-B chromosome 2, complete sequence"	0.1009389	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_piscicida	43662
"NZ_CP031762.1 Pseudoalteromonas piscicida strain DE2-A chromosome 2, complete sequence"	0.100940259	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_piscicida	43662
"NZ_AP019860.1 Planctomycetes bacterium SRT547 DNA, complete genome"	0.101016298	k__Bacteria	2	p__Planctomycetes	203682	-	-	-	-	-	-	-	-	s__Planctomycetes_bacterium_SRT547	2596890
"NZ_CP023510.1 Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete genome"	0.101298734	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Rothia	32207	s__Rothia_mucilaginosa	43675
"NC_013510.1 Thermomonospora curvata DSM 43183, complete genome"	0.102854824	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptosporangiales	85012	f__Thermomonosporaceae	2012	g__Thermomonospora	2019	s__Thermomonospora_curvata	2020
"NC_005125.1 Gloeobacter violaceus PCC 7421 chromosome, complete genome"	0.10302598	k__Bacteria	2	p__Cyanobacteria	1117	c__Gloeobacteria	307596	o__Gloeobacterales	307595	f__Gloeobacteraceae	1890422	g__Gloeobacter	33071	s__Gloeobacter_violaceus	33072
"NZ_CP028129.1 Rathayibacter rathayi strain DSM 7485 chromosome, complete genome"	0.10309647	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Rathayibacter	33886	s__Rathayibacter_rathayi	33887
"NZ_CP035493.1 Xylanimicrobium sp. FW10M-9 chromosome, complete genome"	0.10362748	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Promicromonosporaceae	85017	g__Xylanimicrobium	289244	s__Xylanimicrobium_sp._FW10M-9	2509457
"NZ_CP027942.1 Agrococcus sp. SGAir0287 chromosome, complete genome"	0.10373555	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Agrococcus	46352	s__Agrococcus_sp._SGAir0287	2070347
"NC_011757.1 Methylobacterium extorquens CM4, complete genome"	0.103843813	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylorubrum	2282523	s__Methylorubrum_extorquens	408
"NZ_CP016483.1 Synechococcus sp. PCC 8807 chromosome, complete genome"	0.104592425	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._PCC_8807	195248
"NZ_AP014938.1 Rothia mucilaginosa DNA, complete genome, strain: NUM-Rm6536"	0.104679341	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Rothia	32207	s__Rothia_mucilaginosa	43675
"NZ_AP018290.1 Calothrix sp. NIES-4105 DNA, nearly complete genome"	0.104861838	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._NIES-4105	2005463
"NZ_CP011339.1 Microcystis panniformis FACHB-1757, complete genome"	0.105506768	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Microcystaceae	1890449	g__Microcystis	1125	s__Microcystis_panniformis	513223
"NC_014656.1 Bifidobacterium longum subsp. longum BBMN68, complete genome"	0.105916168	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_longum_subsp._longum	1679
"NZ_CP009935.1 Yersinia pestis Angola, complete genome"	0.106624349	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Yersiniaceae	1903411	g__Yersinia	629	s__Yersinia_pestis	632
"NC_019738.1 Microcoleus sp. PCC 7113, complete genome"	0.107088897	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Oscillatoriales	1150	f__Microcoleaceae	1892252	g__Microcoleus	44471	s__Microcoleus_sp._PCC_7113	1173027
"NC_004113.1 Thermosynechococcus elongatus BP-1 chromosome, complete genome"	0.107947354	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Thermosynechococcus	146785	s__Thermosynechococcus_elongatus	146786
"NZ_CP019163.1 Pseudoalteromonas sp. 13-15 chromosome 2, complete sequence"	0.108052914	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_sp._13-15	1761891
"NC_019678.1 Rivularia sp. PCC 7116, complete genome"	0.108065069	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Rivulariaceae	1185	g__Rivularia	373984	s__Rivularia_sp._PCC_7116	373994
"NZ_CP029551.1 Methylobacterium sp. 17Sr1-43 chromosome, complete genome"	0.108309212	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylobacterium	407	s__Methylobacterium_sp._17Sr1-43	2202828
"NZ_CP030797.1 Brevibacterium linens strain RS16 chromosome, complete genome"	0.108568866	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Brevibacteriaceae	85019	g__Brevibacterium	1696	s__Brevibacterium_linens	1703
"NC_012808.1 Methylobacterium extorquens AM1, complete genome"	0.108866802	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylorubrum	2282523	s__Methylorubrum_extorquens	408
"NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome"	0.109140161	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._PCC_7120	103690
"NZ_CP012590.1 Actinomyces sp. oral taxon 414 strain F0588, complete genome"	0.109477093	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Actinomycetales	2037	f__Actinomycetaceae	2049	g__Actinomyces	1654	s__Actinomyces_sp._oral_taxon_414	712122
"NZ_CP011042.1 Pseudoalteromonas tetraodonis strain GFC chromosome II, complete sequence"	0.109700695	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_tetraodonis	43659
"NZ_CP009896.1 Pimelobacter simplex strain VKM Ac-2033D, complete genome"	0.109980558	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Propionibacteriales	85009	f__Nocardioidaceae	85015	g__Pimelobacter	2044	s__Pimelobacter_simplex	2045
"NC_019676.1 Nostoc sp. PCC 7107, complete genome"	0.11058761	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sp._PCC_7107	317936
"NZ_CP033719.1 Propionibacterium acidifaciens strain FDAARGOS_576 chromosome, complete genome"	0.110649421	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Propionibacteriales	85009	f__Propionibacteriaceae	31957	g__Propionibacterium	1743	s__Propionibacterium_acidifaciens	556499
"NZ_CP044407.1 Actinomadura sp. WMMB499 chromosome, complete genome"	0.111025085	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Streptosporangiales	85012	f__Thermomonosporaceae	2012	g__Actinomadura	1988	s__Actinomadura_sp._WMMB499	2650775
"NZ_CP039546.1 Methylorubrum populi strain YC-XJ5 chromosome, complete genome"	0.111200772	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylorubrum	2282523	s__Methylorubrum_populi	223967
"NC_000911.1 Synechocystis sp. PCC 6803 DNA, complete genome"	0.111936017	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6803	1148
"NC_017039.1 Synechocystis sp. PCC 6803 substr. PCC-P DNA, complete genome"	0.11204124	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6803	1148
"NZ_AP018233.1 Fremyella diplosiphon NIES-3275 DNA, nearly complete genome"	0.112432442	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Rivulariaceae	1185	g__Microchaete	188910	s__Microchaete_diplosiphon	1197
"NZ_CP031423.1 Microbacterium lemovicicum strain Viu22 chromosome, complete genome"	0.112497107	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Microbacterium	33882	s__Microbacterium_lemovicicum	1072463
"NZ_AP017959.1 Synechococcus sp. NIES-970 DNA, complete genome"	0.112813538	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._NIES-970	1827144
"NZ_CP021659.1 Candidatus Fukatsuia symbiotica strain 5D chromosome, complete genome"	0.113314127	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Yersiniaceae	1903411	g__Candidatus_Fukatsuia	1927833	s__Candidatus_Fukatsuia_symbiotica	1878942
"NZ_CP041198.1 Pseudarthrobacter sp. NIBRBAC000502770 chromosome, complete genome"	0.113538411	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Pseudarthrobacter	1742993	s__Pseudarthrobacter_sp._NIBRBAC000502770	2590785
"NC_017162.1 Acinetobacter baumannii 1656-2, complete genome"	0.812056192	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_CP015732.1 Arthrobacter sp. U41, complete genome"	0.113989498	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Arthrobacter	1663	s__Arthrobacter_sp._U41	1849032
"NC_019695.1 Chroococcidiopsis thermalis PCC 7203, complete genome"	0.113999954	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcidiopsidales	1890505	f__Chroococcidiopsidaceae	1890528	g__Chroococcidiopsis	54298	s__Chroococcidiopsis_thermalis	54299
"NZ_CP010453.1 Bifidobacterium longum strain BG7, complete genome"	0.114140174	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_longum	216816
"NZ_CP017646.1 Acinetobacter baumannii strain KAB03, complete genome"	0.813443101	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_CP043056.1 Dolichospermum sp. UHCC 0315A chromosome, complete genome"	0.114656016	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Aphanizomenonaceae	1892259	g__Dolichospermum	748770	s__Dolichospermum_sp._UHCC_0315A	1914871
"NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome"	0.114852044	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_adolescentis	1680
"NZ_CP024576.1 Acinetobacter baumannii strain AbPK1 chromosome, complete genome"	0.819168746	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_CP039290.1 Arthrobacter sp. PAMC25564 chromosome, complete genome"	0.115081144	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Arthrobacter	1663	s__Arthrobacter_sp._PAMC25564	2565366
"NZ_CP042430.1 Baekduia soli strain BR7-21 chromosome, complete genome"	0.115113413	k__Bacteria	2	p__Actinobacteria	201174	c__Rubrobacteria	84995	o__Rubrobacterales	84996	f__Baekduiaceae	2600303	g__Baekduia	2600304	s__Baekduia_soli	496014
"NC_004307.2 Bifidobacterium longum NCC2705 chromosome, complete genome"	0.115215542	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_longum	216816
"NZ_CP036426.1 Planctomycetes bacterium ElP chromosome, complete genome"	0.115354384	k__Bacteria	2	p__Planctomycetes	203682	-	-	-	-	-	-	-	-	s__Planctomycetes_bacterium_ElP	2527974
"NZ_AP014821.1 Geminocystis sp. NIES-3709 DNA, complete genome"	0.115657606	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Chroococcaceae	1890464	g__Geminocystis	669357	s__Geminocystis_sp._NIES-3709	1617448
"NZ_CP030031.1 Acinetobacter radioresistens strain LH6 chromosome, complete genome"	0.8220658	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_radioresistens	40216
"NC_007413.1 Anabaena variabilis ATCC 29413, complete genome"	0.116247524	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Trichormus	264688	s__Trichormus_variabilis	264691
"NZ_CP023564.1 Brachybacterium ginsengisoli strain DCY80 chromosome, complete genome"	0.116359869	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Dermabacteraceae	85020	g__Brachybacterium	43668	s__Brachybacterium_ginsengisoli	1331682
"NZ_CP038022.1 Acinetobacter radioresistens strain DD78 chromosome, complete genome"	0.850682889	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_radioresistens	40216
"NZ_CP011037.1 Pseudoalteromonas nigrifaciens strain KMM 661 chromosome II, complete sequence"	0.117673709	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_nigrifaciens	28109
"NZ_CP016474.1 Synechococcus sp. PCC 7003 chromosome, complete genome"	0.117759007	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._PCC_7003	374981
"NZ_CP015603.1 Actinobacteria bacterium IMCC25003 chromosome, complete genome"	0.118173016	k__Bacteria	2	p__Actinobacteria	201174	-	-	-	-	-	-	-	-	s__Actinobacteria_bacterium_IMCC25003	1848255
"NZ_AP017894.1 Actinomyces naeslundii DNA, complete genome"	0.118403565	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Actinomycetales	2037	f__Actinomycetaceae	2049	g__Actinomyces	1654	s__Actinomyces_naeslundii	1655
"NZ_CP031941.1 Nostoc sphaeroides strain Kutzing En chromosome, complete genome"	0.119415416	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_sphaeroides	446679
"NZ_CP020664.1 Microcystis sp. MC19 chromosome, complete genome"	0.119516127	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Microcystaceae	1890449	g__Microcystis	1125	s__Microcystis_sp._MC19	1967666
"NZ_CP024785.1 Nostoc flagelliforme CCNUN1 chromosome, complete genome"	0.119561849	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Nostocaceae	1162	g__Nostoc	1177	s__Nostoc_flagelliforme	1306274
"NZ_AP019740.1 Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 DNA, complete genome"	0.855602303	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_radioresistens	40216
"NZ_CP014209.1 Isoptericola dokdonensis DS-3, complete genome"	0.120199468	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Promicromonosporaceae	85017	g__Isoptericola	254250	s__Isoptericola_dokdonensis	372663
"NZ_CP018092.1 Synechococcus lividus PCC 6715 chromosome, complete genome"	0.120312557	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_lividus	33070
"NZ_CP015416.1 Pseudoalteromonas luteoviolacea strain S4054 chromosome 2, complete sequence"	0.121118071	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_luteoviolacea	43657
"NC_012988.1 Methylobacterium extorquens str. DM4 chromosome, complete genome"	0.12113528	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Methylobacteriaceae	119045	g__Methylorubrum	2282523	s__Methylorubrum_extorquens	408
"NZ_CP040047.1 Acinetobacter baumannii strain VB1190 chromosome, complete genome"	0.8620462	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_CP019606.1 Tessaracoccus sp. NSG39, complete genome"	0.121991542	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Propionibacteriales	85009	f__Propionibacteriaceae	31957	g__Tessaracoccus	72763	s__Tessaracoccus_aquimaris	1332264
"NZ_CP019607.1 Tessaracoccus flavescens strain SST-39T, complete genome"	0.122093177	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Propionibacteriales	85009	f__Propionibacteriaceae	31957	g__Tessaracoccus	72763	s__Tessaracoccus_flavescens	399497
"NZ_CP011033.1 Pseudoalteromonas tunicata strain D2 chromosome II, complete sequence"	0.122389658	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Alteromonadales	135622	f__Pseudoalteromonadaceae	267888	g__Pseudoalteromonas	53246	s__Pseudoalteromonas_tunicata	314281
"NZ_AP018255.1 Calothrix sp. NIES-4071 DNA, complete genome"	0.122910488	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Calotrichaceae	2661849	g__Calothrix	1186	s__Calothrix_sp._NIES-4071	2005469
"NZ_CP012832.1 Synechocystis sp. PCC 6803 substrain GT-G, complete genome"	0.123277063	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Merismopediaceae	1890428	g__Synechocystis	1142	s__Synechocystis_sp._PCC_6803	1148
"NZ_CP013673.1 Bifidobacterium longum strain 35624, complete genome"	0.123671853	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Bifidobacteriales	85004	f__Bifidobacteriaceae	31953	g__Bifidobacterium	1678	s__Bifidobacterium_longum	216816
"NZ_AP017305.1 Fischerella sp. NIES-3754 DNA, complete genome"	0.123677276	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Hapalosiphonaceae	1892263	g__Fischerella	1190	s__Fischerella_sp._NIES-3754	1752063
"NZ_CP035045.1 Acinetobacter baumannii strain ABUH793 chromosome, complete genome"	0.868261936	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_baumannii	470
"NZ_AP018281.1 Chondrocystis sp. NIES-4102 DNA, complete genome"	0.123984984	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Chroococcales	1118	f__Chroococcaceae	1890464	g__Chondrocystis	268175	s__Chondrocystis_sp._NIES-4102	2005460
"NZ_AP017367.1 Leptolyngbya sp. O-77 DNA, complete genome"	0.124081682	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Leptolyngbyaceae	1890438	g__Leptolyngbya	47251	s__Leptolyngbya_sp._O-77	1080068
"NZ_CP025618.2 Acinetobacter schindleri strain SGAir0122 chromosome, complete genome"	0.880705523	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_schindleri	108981
"NZ_CP027365.1 Acinetobacter radioresistens strain DSSKY-A-001 chromosome, complete genome"	0.880984149	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Acinetobacter	469	s__Acinetobacter_radioresistens	40216
"NZ_CP035298.1 Micrococcus luteus strain ATCC 4698 chromosome, complete genome"	0.124972858	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Micrococcaceae	1268	g__Micrococcus	1269	s__Micrococcus_luteus	1270
"NC_019702.1 Synechococcus sp. PCC 7502, complete genome"	0.12534709	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Synechococcales	1890424	f__Synechococcaceae	1890426	g__Synechococcus	1129	s__Synechococcus_sp._PCC_7502	1173263
"NZ_CP021038.1 Clavibacter michiganensis subsp. insidiosus strain ATCC 10253 chromosome, complete genome"	0.125513192	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Clavibacter	1573	s__Clavibacter_michiganensis_subsp._insidiosus	33014
"NZ_AP018298.1 Fischerella sp. NIES-4106 DNA, nearly complete genome"	0.126269903	k__Bacteria	2	p__Cyanobacteria	1117	-	-	o__Nostocales	1161	f__Hapalosiphonaceae	1892263	g__Fischerella	1190	s__Fischerella_sp._NIES-4106	2005456
"NZ_CP023563.1 Brachybacterium sp. VM2412 chromosome, complete genome"	0.126426812	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Dermabacteraceae	85020	g__Brachybacterium	43668	s__Brachybacterium_sp._VM2412	2017484
